S. No.	Product Name	Product Code	MFR No.	BPR No.	Revision No.	Effective Date	Remarks
233.		DIKLOFLAME INJ. 3 ML	FAMP-0184	MFR/LA/238	BPR/LA/238	01	10/04/2024	Intas
234.		ONDET-4 INJ. 4 ML	FAMP-0313	MFR/LA/239	BPR/LA/239	01	11/03/2024	INTAS 
235.		3D FLAM INJ. 3 ML	FAMP-0314	MFR/LA/240	BPR/LA/240	01	11/04/2024	INTAS
236.		DIKLOTAS INJ. 3 ML	FAMP-0315	MFR/LA/241	BPR/LA/241	01	11/04/2024	INTAS
237.		ACTIGESIC INJ. 1 ML	FAMP-0312	MFR/LA/242	BPR/LA/242	00	18/02/2023	INTAS
238.		ONDRASET INJ. 2 ML	FAMP-0321	MFR/LA/243	BPR/LA/243	01	18/03/2024	JAGSONPAL
239.		CONSEC INJ. 2 ML	FAMP-0316	MFR/LA/244	BPR/LA/244	01	06/03/2024	JAGSONPAL
240.		INFECROS INJ. 5 ML	FAMP-0325	MFR/LA/245	BPR/LA/245	00	21/02/2023	
241.		ANAFORMAP INJ. 2 ML	FAMP-0326	MFR/LA/246	BPR/LA/246	00	22/02/2023	
242.		KETORPAL I ML INJ.	FAMP-0318	MFR/LA/247	BPR/LA/247	01	25/01/2025	JAGSONPAL
243.		AJANTAS ONDAPLUS INJECTIONJ	FAMP-0327	MFR/LA/248	BPR/LA/248	01	23/02/2024	AJANTA PHARMA
244.		METORICH 2 ML INJ.	FAMP-0322	MFR/LA/249	BPR/LA/249	01	03/03/2025	Jagsonpal 
245.		LESURICH 2 ML INJ	FAMP-0319	MFR/LA/250	BPR/LA/250	00	01/03/2023	Jagsonpal 
246.		FRUSITONE 2 ML INJ.	FAMP-0317	MFR/LA/251	BPR/LA/251	01	29/01/2025	Jagsonpal 
247.		TRANEXAMIC ACID INJ.  100MG/ML
 (500 mg/5ml)
(EU)	FAMPE-0008	MFR/LA/252	BPR/LA/252	02	25/04/2025	EU
248.		METOPAL INJECTION 5 ML	FAMP-0320	MFR/LA/253	BPR/LA/253	01	08/03/2025	Jagsonpal
249.		KELAC 1 ML INJ.	FAMP-0330	MFR/LA/254	BPR/LA/254	01	22/05/2024	INTAS
250.		KETOLAC 1 ML INJ.	FAMP-0331	MFR/LA/255	BPR/LA/255	01	22/05/2024	Only for INTAS
251.		METHYGIN INJ. 1 ML	FAMP-0335	MFR/LA/256	BPR/LA/256	00	08/04/2023	INTAS
252.		TRANTAS INJ. 5 ML 	FAMP-0336	MFR/LA/257	BPR/LA/257	02	04/02/2025	INTAS
253.		ATROTAS INJECTION 1ML	FAMP-0332	MFR/LA/258	BPR/LA/258	01	05/02/2025	INTAS
254.		FALCIMETHER  INJECTION 2ML	FAMP-0249	MFR/LA/259	BPR/LA/259	01	02/05/2024	
255.		EMENORM INJECTION 2ML	FAMP-0334	MFR/LA/260	BPR/LA/260	01	13/05/2025	
256.		Phenergan inj 2 ml 	FAMPE-0003	MFR/LA/261	BPR/LA/261	00	29/04/2023	EXPORT
257.		Troyther Injection 2ml	FAMP-0337	MFR/LA/262	BPR/LA/262	02	14/08/2025	TROIKAA
258.		Emsyl Inj. 2 ml 	FAMP-0333	MFR/LA/263	BPR/LA/263	00	21/09/2023	Intas
259.		Ondet Inj. 4 ml 
(Hospital Supply) 	FAMP-0342	MFR/LA/264	BPR/LA/264	01	11/03/2024
	Hospital supply 
260.		Lazzek 2 ml 	FAMPE-0012	MFR/LA/265	BPR/LA/265	00	23/07/2023	Export 
261.		Noshbra-N 2 ml 	FAMPE-0011	MFR/LA/266	BPR/LA/266	00	01/08/2023	Export 
262.		Norfyline Injection 2 ml 	FAMP-0338	MFR/LA/267	BPR/LA/267	02	09/09/2024	ADL 
263.		Ferinut Iron Injection 5 ml 	FAMP-0343	MFR/LA/268	BPR/LA/268	00	05/08/2023	J.B. Chemicals 
264.		Neurologix Forte Injection 3 ml 	FAMP-0341	MFR/LA/269	BPR/LA/269	00	21/08/2023
	Ajanta 
265.		Anatec-75 Injection 1 ml 	FAMP-0302	MFR/LA/270	BPR/LA/270	00	03/09/2023	Ajanta
266.		Keterokem Injection 1 ml	FAMPE-0006	MFR/LA/271	BPR/LA/271	01	08/12/2023	Export
267.		Traxaden Injection 5 ml	FAMPE-0007	MFR/LA/272	BPR/LA/272	00	31/08/2023	
268.		Dentidin Injection 2 ml 	FAMPE-0005	MFR/LA/273	BPR/LA/273	00	01/09/2023	
269.		Emexine Injection 8mg/4ml	FAMPE-0010	MFR/LA/274	BPR/LA/274	00	05/09/2023	Export 
270.		Sterile Water For Injection 10 ml 	FAMPE-0014	MFR/LA/275	BPR/LA/275	01	25/03/2025	Export
271.		STERILE WATER FOR INJECTION BP 2 ML	FAMPE-0013	MFR/LA/276	BPR/LA/276	00	01/10/2023	Export
272.		Macfast Injection 2 ml 	FAMP-0347	MFR/LA/277	BPR/LA/277	00	16/10/2023	ok
273.		Ranenz Injection 2 ml 	FAMP-0345	MFR/LA/278	BPR/LA/278	00	16/10/2023	ok
274.		Emsylate Injection 2 ml 	FAMP-0346	MFR/LA/279	BPR/LA/279	00	17/10/2023	Ok
275.		Mypar Injection 2 ml 	FAMP-0348	MFR/LA/280	BPR/LA/280	01	10/02/2026	OK
276.		Oncopen 2 ml Injection 	FAMP-0349	MFR/LA/281	BPR/LA/281	01	29/12/2025	Dr. Mor.
277.		Winfillin Injection 2 ml 	FAMP-0350	MFR/LA/282	BPR/LA/282	01	01/08/2024	Makers
278.		Micabal-1500 Injection 1 ml 	FAMP-0351	MFR/LA/283	BPR/LA/283	00		German
279.		Micabal-2500 Injection 1 ml	FAMP-0352	MFR/LA/284	BPR/LA/284	00		German
280.		Dexnluron 1500 injection 1 ml 	FAMP-0340	MFR/LA/285	BPR/LA/285	00		Ajanta
281.		Siocilin 600 Injection 4 ml 	FAMP-0339	MFR/LA/286	BPR/LA/286	00	16/01/2024	ADL

282.		Morvil 2 ml  Injection	FAMP-0353	MFR/LA/287	BPR/LA/287	00	01/02/2024	Morepen
283.		Biovil 2 ml injection	FAMP-0354	MFR/LA/288	BPR/LA/288	00	01/02/2024	German
284.		Lasipen Injection 2 ml 	FAMP-0356	MFR/LA/289	BPR/LA/289	00	06/02/2024	Morepen
285.		Mecofine Injection 1 ml 	FAMP-0357	MFR/LA/290	BPR/LA/290	00	06/02/2024	Morepen
286.		Ketrochem Injection 1  ml 	FAMP-0355	MFR/LA/291	BPR/LA/291	00	07/02/2024	German
287.		STERILE WATER FOR INJECTION 2 ML	FAMPE-0017	MFR/LA/292	BPR/LA/292	01	25/03/2025	EU
288.		STERILE WATER FOR INJECTION 5 ML	FAMPE-0018	MFR/LA/293	BPR/LA/293	01	25/03/2025	EU
289.		Ondazin 8mg/4ml Injection 	FAMPE-0015	MFR/LA/294	BPR/LA/294	00		
290.		Diclofenaco Potasico 75mg/3ml	FAMPE-0016	MFR/LA/295	BPR/LA/295	00	04/03/2024	Export
291.		Deeclo Injection 3 ml 	FAMP-0344	MFR/LA/296	BPR/LA/296	00	06/03/2024	Cadila
292.		Ethamore Injection 2 ml 	FAMP-0361	MFR/LA/297	BPR/LA/297	00	06/04/2024	
293.		Jalcium-D3 Injection 1 ml 	FAMP-0363	MFR/LA/298	BPR/LA/298	00	06/04/2024	jagsonpal
294.		Nuraxon Insta Injection 2 ml 	FAMP-0358	MFR/LA/299	BPR/LA/299	00	22/03/2024	
295.		Promipen Injection 2 ml 	FAMP-0359	MFR/LA/300	BPR/LA/300	00	01/04/2024	
296.		Ketormine Injection 1 ml 	FAMP-0362	MFR/LA/301	BPR/LA/301	00	06/04/2024	German 
297.		Ifimol Injection 2 ml 	FAMP-0360	MFR/LA/302	BPR/LA/302	00		
298.		Ferrimep Injection 5 ml 	FAMPE-0020	MFR/LA/303	BPR/LA/303	00	22/03/2024	Export
299.		Ondansetron Injection BP 2 ml (Without Preservative)	FAMPE-0022	MFR/LA/304	BPR/LA/304	00	06/05/2024	
300.		Dexamethasone sodium phosphate injection 4 mg	FAMPE-0021	MFR/LA/305	BPR/LA/305	01	03/06/2024	EU
301.		Metol Injection 5 ml 	FAMP-0168	MFR/LA/306	BPR/LA/306	01	11/08/2025	German 
302.		Peptac Injection 2 ml 	FAMP-0366	MFR/LA/307	BPR/LA/307	00	22/05/2024	
303.		Bacteriostatic Water For Injection 10 ml	FAMPE-0023	MFR/LA/308	BPR/LA/308	00		EU
304.		Metopen 2 ml Injection 	FAMP-0371	MFR/LA/309	BPR/LA/309	01	12/12/2025	
305.		Wantac Injection 2 ml 	FAMP-0369	MFR/LA/310	BPR/LA/310	00	09/08/2024	
306.		Parawal 150 Injection 2 ml 	FAMP-0367	MFR/LA/311	BPR/LA/311	00		
307.		Womiwal-2 Injection 	FAMP-0368	MFR/LA/312	BPR/LA/312	00	09/08/2024	Wallace
308.		Spasypen 2 ml Injection	FAMP-0370	MFR/LA/313	BPR/LA/313	00	13/08/2024	
309.		Dobutamine Injection USP 5 ml 	FAMPE-0024	MFR/LA/314	BPR/LA/314	00	12/08/2024	
310.		Infadobu Injection 5 ml 	FAMP-0328	MFR/LA/315	BPR/LA/315	00	12/08/2024	
311.		Odiwin Injection 2 ml 	FAMP-0372	MFR/LA/316	BPR/LA/316	00	30/08/2024	
312.		Lifogefic Injection 1 ml 	FAMP-0373	MFR/LA/317	BPR/LA/317	00	30/08/2024	
313.		Sodium Chloride Injection USP 10 ml	FAMPE-0025	MFR/LA/318	BPR/LA/318	00	01/10/2024	
314.		Sodium Chloride Injection USP 5 ml	FAMPE-0026	MFR/LA/319	BPR/LA/319	00	01/10/2024	
315.		Diclofen-AQ Injection 1 ml 	FAMP-0374	MFR/LA/320	BPR/LA/320	00	24/09/2024	
316.		Tranexmic acid inj BP 5ML	FAMPE-0029	MFR/LA/321	BPR/LA/321	00	12/08/2025	
317.		Tranexmic acid inj BP 10ML	FAMPE-0031	MFR/LA/322	BPR/LA/322	00	03/10/2024	
318.		Skytranex Injection 10 ml	FAMPE-0030	MFR/LA/323	BPR/LA/323	00		
319.		Tranexamic Acid Injection 100mg/ml (500mg/5 ml)	FAMPE-0008	MFR/LA/324	BPR/LA/324	01	26/04/2025	EU
510L
320.		Skytranex Injection 5 ml	FAMPE-0032	MFR/LA/325	BPR/LA/325	00	18/10/2024	TMDA
321.		Relief-Q Injection 3 ml	FAMPE-0033	MFR/LA/326	BPR/LA/326	00	14/11/2024	TMDA
322.		Ranitidine Injection USP 2 ml
Without Preservative)	FAMPE-0034	MFR/LA/327	BPR/LA/327	00	30/11/2024	Without
Preservative

323.		Dexamethasone sodium phosphate injection 4 mg	FAMPE-0021	MFR/LA/328	BPR/LA/328	00		EU MV
324.		Ranitidine inj USP 2ml	FAMPE-0035	MFR/LA/329	BPR/LA/329	00	11/07/2025	
325.		Ondi Inj 2ml	FAMP-0375	MFR/LA/330	BPR/LA/330	00	28/11/2024	Galpha 
326.		Dopamap Injection 5 ml (Zimbabwe)	FAMPE-0038	MFR/LA/331	BPR/LA/331	00	23/12/2024	Zimbabwe
327.		Vomiprl injection 2 ml 	FAMP-0376	MFR/LA/332	BPR/LA/332	00	19/12/2024	Pristine pearl
328.		Atromap Injection 1 ml (Zimbabwe)	FAMPE-0040	MFR/LA/333	BPR/LA/333	00	24/12/2024	 Zimbabwe

329.		Metosky Injection 2 ml 
(Philippines	FAMPE-0039	MFR/LA/334	BPR/LA/334	00	23/12/2024	 Philippines
330.		Skygenta Injection 2 ml 
(Zimbabwe)	FAMPE-0037	MFR/LA/335	BPR/LA/335	00	23/12/2024	 Zimbabwe
331.		Osteoflam injection 3 ml	FAMPE-0036	MFR/LA/336	BPR/LA/336	01	24/04/2025	indigo
332.		Dopamap Injection 5 ml
Domestic	FAMP-0378	MFR/LA/337	BPR/LA/337	00	 22/01/2025	torviss
333.		Ketorolac tromethamine Injection USP 1 ml 	FAMPE-0041	MFR/LA/338	BPR/LA/338	00	25/01/2025	gergio
334.		Infapenta Injection 1 ml	FAMP-0377	MFR/LA/339	BPR/LA/339	00	29/01/2025	Infalabel
335.		Ferropral Injection 5 ml	FAMP-0379	MFR/LA/340	BPR/LA/340	00	17/02/2025	Pristine pearl
336.		Vomilife Injection 2 ml	FAMP-0380	MFR/LA/341	BPR/LA/341	00	06/03/2025	Torrent
337.		Vomilife Injection 4 ml	FAMP-0381	MFR/LA/342	BPR/LA/342	00	07/03/2025	Torrent
338.		Ethampal Injection 2 ml	FAMP-0382	MFR/LA/343	BPR/LA/343	00	17/03/2025	Jagsonpal 
339.		Hydroxocobalamin 1000mcg/ml Solution for injection 1 ml	FAMPE-0043	MFR/LA/344	BPR/LA/344	00	29/04/2025	Orbit
340.		Tranexsol Injection 500mg/5ml	FAMPE-0046	MFR/LA/345	BPR/LA/345	00	08/01/2025	Bosnia
Export
341.		Frusesky  Injection 2 ml	FAMPE-0019	MFR/LA/346	BPR/LA/346	00	15/05/2025	Skymap
342.		Hemotrax Injection 100mg/ml (500mg/5ml) 	FAMPE-0044	MFR/LA/347	BPR/LA/347	00	02/05/2025	Philipens
343.		Vita-D Injection 1 ml 300000 IU	FAMPE-0042	MFR/LA/348	BPR/LA/348	00	13/05/2025	Export 
344.		Sodium bicarbonate injection USP 2 ml	FAMPE-0045	MFR/LA/349	BPR/LA/349	00	03/06/2025	Skymap
345.		Embervet Injection
 (1.5 ml) Part-1	FAMP-0383	MFR/LA/350	BPR/LA/350	00	11/07/2025	Torrvis
346.		Embervet Injection Part-2	FAMP-084	MFR/LA/351	BPR/LA/351	00	11/07/2025	Torrvis
347.		Skytac Injection 2 ml 	FAMPE-0049	MFR/LA/352	BPR/LA/352	00	28/06/2025	Mayamar
348.		Cognitol 4 ml Injection 	FAMPE-0050	MFR/LA/353	BPR/LA/353	01	12/08/2025	Export
349.		Ferrimap Injection 5 ml	FAMPE-0051	MFR/LA/354	BPR/LA/354	00	20/07/2025	
350.		Frusesky Injection 2 ml	FAMPE-0052	MFR/LA/355	BPR/LA/355	00	19/07/2025	Ethopia
351.		Vorast  Injection 2 ml 	FAMP-0387	MFR/LA/356	BPR/LA/356	02	12/02/2026\	FDC
352.		Flemiclin Injection 4ml	FAMP-0388	MFR/LA/357	BPR/LA/357	02	12/02/2026	FDC
353.		Mapnorm Inj. 2ml	FAMPE-0053	MFR/LA/358	BPR/LA/358	00	13/08/2025	Ethopia
354.		Pardifen-A inj. 3ml	FAMPE-0002	MFR/LA/359	BPR/LA/359	00	12/08/2025	Begafarm
 LLP evolet
355.		Biontafer Inj.5ml	FAMPE-0054	MFR/LA/360	BPR/LA/360	00	11/08/2025	Skymap
(Thefer
Peru)
356.		Dobutamap 250 mg/5ml Injection	FAMP-0385	MFR/LA/361	BPR/LA/361	00	19/09/2025	Torrvis
357.		Sodium bi carbonate  injection USP 3ML 	FAMPE-0055	MFR/LA/362	BPR/LA/362	00	30/09/2025	Skymap
358.		Lidocaine injection 1% BP 	FAMPE-0059	MFR/LA/363	BPR/LA/363	00	30/09/2025	Skymap
359.		Ranexstar inj 100mg/ml (500mg/5ml)	FAMPE-0060	MFR/LA/364	BPR/LA/364	00	05/10/2025
	Export (medinova)
360.		Skylonac-3 injection 3ml 	FAMPE-0061	MFR/LA/365	BPR/LA/365	01	13/12/2025	Raddys
361.		Dopamine hcl inj.5ml	FAMPE-0058	MFR/LA/366	BPR/LA/366	00	03/11/2025	Export
362.		Atrocup inj.1ml	FAMP-0389	MFR/LA/367	BPR/LA/367	00	11/11/2025	Alkem
363.		Sodium bicarbonate inj.usp 1ml	FAMPE-0065	MFR/LA/368	BPR/LA/368	00	13/11/2025	Export
364.		Ketromap inj.1ml	FAMPE-0063	MFR/LA/369	BPR/LA/369	00	17/11/2025	Export(ethopia)
365.		Diclomap inj.3ml	FAMPE-0062	MFR/LA/370	BPR/LA/370	01	11/05/2026	Export
366.		Piroxipal 2ml	FAMP-0390	MFR/LA/371	BPR/LA/371	00	22/11/2025	Domestic
367.		Skytranex inj.5ml	FAMPE-0064	MFR/LA/372	BPR/LA/372	00	24/12/2025	Export
368.		Bolevix inj. 3ml	FAMPE-0066	MFR/LA/373	BPR/LA/373	00	28/11/2025	Export
369.		Fludoxin inj. 5ml	FAMP-0391	MFR/LA/374	BPR/LA/374	01	10/02/2026	Domestic
370.		Nuromap-fort inj.2ml	FAMP-0392	MFR/LA/375	BPR/LA/375	00	18/12/2025	Domestic
371.		Khrizemic 100MG/ML (500MG/ML) SOLUTION FOR INJ. IV	FAMPE-0067	MFR/LA/376	 BPR/LA/376	00	24/12/2025	EXPORT
372.		SKYMINE INJ.1ML	FAMP-0364	MFR/LA/377	BPR/LA/377	00	07/01/2026	TORVIS
373.		NUSTIGMINE INJ.BP	FAMPE-0047	MFR/LA/378	BPR/LA/378	01	22/01/2026	EXPORT
374.		BINTAC INJ.2ML	FAMP-0394	MFR/LA/379	BPR/LA/379	00	09/01/2026	ZERMAN REMIDIS
375.		SKYTAC INJ.2ML	FAMP-0393	MFR/LA/380	BPR/LA/380	00	08/01/2026	SKYMAP
376.		OMIT INJ.2ML	FAMP-0395	MFR/LA/381	BPR/LA/381	00	20/01/2026	DOMESTIC
377.		HYSOMAP INJ.1ML	FAMPE-0070	MFR/LA/382	BPR/LA/382	00	11/03/2026	EXPORT (MYANMAR)
378.		MAPNORM INJ.2ML	FAMPE-0071	MFR/LA/383	BPR/LA/383	00	11/03/2026	EXPORT (MYANMAR)
379.		ONDANSETRON 2MG/ML SOLN.FOR INJ.,4ML	FAMPE-0073	36 MONTH	BPR/LA/384	00	23/03/2026	EXPORT
380.		KETROMAP INJ.1ML	FAMPE-0072	36 MONTH	BPR/LA/385	00	30/03/2026	EXPORT (MYANMAR)
381.		Ketrolac Trometamol 30mg/ml Soln. for inj.1ml	FAMPE-0069	24 MONTH	MFR/LA/386	00	21/04/2026	EXPORT
382.		Skylonac inj.1ml	FAMPE-0074	24 MONTH	MFR/LA/387	00	29/04/2026	EXPORT (REDDYES)  
383.		Nuroxon insta inj.2ml	FAMP-0396	18 MONTH	MFR/LA/388	00	02/05/2026	SEMEJANPHARMA(PS)
384.		Drojack inj. 2ml	FAMP-0397	24 MONTH	MFR/LA/389	00	19/05/2026	DOMESTIC 
385.		Ondastrong inj.2ML	FAMP-0398	24 MONTH	MFR/LA/390	00	23/05/2026	GLENSMITH DOMESTIC
386.		Epsotal 50 inj.2ml	FAMP-0178	24 MONTH	MFR/LA/391	00	03/06/2026	DOMESTIC GERMAN
387.		Diclomap injection (3ml)	FAMPE-0075	36 MONTH	MFR/LA/392	00	01/06/2026	EXPORT(ETHIOPIA)0
388.		Dentidin injection 2ml	FAMPE-0076	36 MONTH	MFR/LA/393	00	03/06/2026	EXPORT(UZB)
389.		Keterokem injection 1ml	FAMPE-0077	36 MONTH	MFR/LA/394	00	03/06/2026	EXPORT(UZB)
390.		Traxaden injection 5 ml	FAMPE-0078	36 MONTH	MFR/LA/395	00		
391.		Diclomap injection (3ml)	FAMPE-0079	36 MONTH	MFR/LA/396	00		
392.		Dexasky Inj.2ml	FAMPE-0080	36 MONTH	MFR/LA/397	00		Export(ethopia)
393.
