S. No.	Product Name	Product Code	MFR No.	BPR No.	Revision No.	Effective Date	Remarks
56.		UNORIN 2 ML INJECTION	FAMP-0070	MFR/LA/058	BPR/LA/058	03	06/03/2024	GLENSMITH
57.		ONDASTRONG 2ML INJECTION	FAMP-0069	MFR/LA/059	BPR/LA/059	03	18/03/2024	OK
58.		EROD-M INJECTION	FAMP-0064	MFR/LA/060	BPR/LA/060	01	29/04/2024	OK
59.		TRAINEX INJECTION	FAMP-0072	MFR/LA/061	BPR/LA/061	04	12/08/2025	Skymap
60.		BOLICETA 2ML INJECTION	FAMP-0066	MFR/LA/062	BPR/LA/062	02	06/02/2025	OK
61.		DICLOEDGE INJECTION	FAMP-0067	MFR/LA/063	BPR/LA/063	02	17/11/2023	OK
62.		STRACHOL INJECTION	FAMP-0071	MFR/LA/064	BPR/LA/064	00	28/06/19	OK
63.		DICLOEDGE 3ML INJECTION	FAMP-0068	MFR/LA/065	BPR/LA/065	03	06/04/2024	OK
64.		BIO-MAL 2 ML INJECTION	FAMP-0005	MFR/LA/066	BPR/LA/066	03	29/03/2025	OK
65.		PRESETRON 2ML INJECTION	FAMP-0073	MFR/LA/067	BPR/LA/067	01	20/07/2021	OK
66.		METHABEST 1 ML INJECTION	FAMP-0078	MFR/LA/068	BPR/LA/068 	01	13/03/2021	OK
67.		RANIBEST  INJECTION 2 ML	FAMP-0079	MFR/LA/069	BPR/LA/069 	03	06/03/2024	QUALITY BESTOCHEM
68.		EMCEF 2ML INJECTION	FAMP-0082	MFR/LA/070	BPR/LA/070 	02	30/06/2022	OK
69.		PAINCOM 2ML INJECTION	FAMP-0076	MFR/LA/071	BPR/LA/071 	04	19/01/2025	OK
70.		ACITOL –D3 6L 	FAMP-0065	MFR/LA/072	BPR/LA/072 	03	19/01/2025	OK
71.		BIOSPAN INJECTION	FAMP-0083	MFR/LA/073	BPR/LA/073 	00	29/08/19	OK
72.		CALBERT 6L INJECTION	FAMP-0085	MFR/LA/074	BPR/LA/074	02	19/01/2025	OK
73.		SKYTAC INJECTION 2 ML	FAMP-0087	MFR/LA/075	BPR/LA/075	05	11/07/2025	SKYMAP
74.		BIOTRAM 2ML	FAMP-0075	MFR/LA/076	BPR/LA/076	02	13/01/2021	OK
75.		TRAMABEST INJ 2ML	FAMP-0080	MFR/LA/077	BPR/LA/077	00	17/10/19	OK
76.		FALCIDE INJ 2ML	FAMP-0090	MFR/LA/078	BPR/LA/078	02	29/04/2024	OK
77.		BIOTRAM 1ML	FAMP-0081	MFR/LA/079	BPR/LA/079	00	22/10/19	OK
78.		NEW MECOBA PLUS	FAMP-0091	MFR/LA/080	BPR/LA/080	00	30/10/19	OK
79.		CLINRIGHT 600	FAMP-0089	MFR/LA/081	BPR/LA/081	02	24/09/2024	OK
80.		CLINDAMAP 600 4ML	FAMP-0088	MFR/LA/082	BPR/LA/082	03	 01/10/2025	OK
81.		ALBETRAM 	FAMP-0093	MFR/LA/083	BPR/LA/083	00	22/11/19	OK
82.		STRACHOL 4ML	FAMP-0086	MFR/LA/084	BPR/LA/084	00	29/11/19	OK
83.		GLOWBERT INJ 5ML	FAMP-0092	MFR/LA/086	BPR/LA/086	01	04/12/2021	OK
84.		FORTZOCIN 30MG INJ	FAMP-0095	MFR/LA/087	BPR/LA/087	02	19/01/2025	OK
85.		DICLOFEN  1ML	FAMP-0006	MFR/LA/089	BPR/LA/089	02	25/07/2023	OK
86.		DD MAP 50MG INJ 	FAMP-0096	MFR/LA/088	BPR/LA/088	03	07/01/2020	OK
Discontinue
87.		DICLOFEN 3ML	FAMP-0001	MFR/LA/090	BPR/LA/090	04	07/03/2025	OK
88.		MICASKY PLUS INJ 2ML	FAMP-0156	MFR/LA/091	BPR/LA/091	03
	11/07/2025	OK
89.		EMIGAN 2 ML	FAMP-0020	MFR/LA/092	BPR/LA/092	02	12/08/2023	OK
90.		BIOSPAS Injection 2ML	FAMP-0098	MFR/LA/093	BPR/LA/093	02	24/07/2025	OK
91.		ONDIRON 4ML	FAMP-0008	MFR/LA/094	BPR/LA/094	03	11/03/2024	GERMAN
92.		BINTAC INJECTION 2 ML 	FAMP-0002	MFR/LA/095	BPR/LA/095	05	03/07/2025	GERMAN
93.		BIOSOL INJ	FAMP-0009	MFR/LA/096	BPR/LA/096	04	09/01/2025	GERMAN
94.		BIODEBOL 50MG INJ	FAMP-0004	MFR/LA/097	BPR/LA/097	03	06/01/2021	Discontinue
95.		KETROMAP 1ML	FAMP-0097	MFR/LA/098	BPR/LA/098	01	02/02/2025	OK
96.		MICABAL INJ 1ML	FAMP-0013	MFR/LA/099	BPR/LA/099	01	14/08/2023	OK
97.		SKYMEST INJECTION 2 ML	FAMP-0107	MFR/LA/100	BPR/LA/100	02	09/07/2024	OK
98.		DICLOSKY INJECTION 3ML	FAMP-0103	MFR/LA/101	BPR/LA/101	02	19/02/2025	SKYMAP
99.		SKYFLAM INJECTION 3ML	FAMP-0102	MFR/LA/102	BPR/LA/102	00	14/04/2020	SKYMAP
100.		ACTIVE INJECTION 3ML	FAMP-0032	MFR/LA/103	BPR/LA/103	00	21/03/2020	German remedies
101.		ZYDICLO INJECTION 3ML	FAMP-0033	MFR/LA/104	BPR/LA/104	02	29/01/2021	OK
102.		SKYSNON INJ 2ML	FAMP-0104	MFR/LA/105	BPR/LA/105	01	25/01/2024	OK
103.		KETORMITH INJECTION 1 ML	FAMP-0137	MFR/LA/106	BPR/LA/106	01	29/01/2025	GLENSMITH
104.		DEXAMAP INJ 2ML	FAMP-0154	MFR/LA/107	BPR/LA/107	00	07/05/2020	OK
105.		GENTAMAP INJ 2ML	FAMP-0155	MFR/LA/108	BPR/LA/108	00	07/05/2020	OK
106.		SKYMOL INJ2ML	FAMP-0108	MFR/LA/109	BPR/LA/109	01	21/05/2024	OK
107.		METHYLER INJ 1ML	FAMP-0042	MFR/LA/110	BPR/LA/110	02	10/02/2022	GERMEN
108.		FUROSKY INJ 2ML	FAMP-0105	MFR/LA/111	BPR/LA/111	01	15/05/2025	
109.		METOSKY INJ 2ML	FAMP-0106	MFR/LA/112	BPR/LA/112	00	09/05/2020	OK
110.		BY CALVIT D3 INJ 1ML	FAMP-0136	MFR/LA/113	BPR/LA/113	02	19/01/2025	OK
111.		PEFAX INJEECTION 5 ML	FAMP-0134	MFR/LA/115	BPR/LA/115	03	12/08/2025	German Remedies
112.		STROCHEM INJ 4ML	FAMP-0133	MFR/LA/116	BPR/LA/116	00	15/05/2020	OK
113.		BETAGEE INJ 1ML	FAMP-0151	MFR/LA/117	BPR/LA/117	03	11/01/2025	ok
114.		ACTIVA INJ 1ML	FAMP-0152	MFR/LA/118	BPR/LA/118	02	19/01/2020	OK
115.		ZYDICLO INJ 1ML	FAMP-0153	MFR/LA/119	BPR/LA/119	02	23/01/2021	OK
116.		VOVCAD 3ML	FAMP-0150	MFR/LA/120	BPR/LA/120	02	21/01/2021	OK
117.		ETHAMO 2ML	FAMP-00031	MFR/LA/121	BPR/LA/121	02	28/07/2023	OK
118.		DOFLEX  INJ 3ML	FAMP-0160	MFR/LA/122	BPR/LA/122	04	27/07/2023	OK
119.		FURESEMAP INJ 2ML	FAMP-0159	MFR/LA/123	BPR/LA/123	01	29/01/2025	Skymap
120.		FERGLOW- S Injection 5 ml	FAMP-0011	MFR/LA/124	BPR/LA/124	02	11/07/2025	OK
121.		VOVCAD INJ 1ML	FAMP-00164	MFR/LA/125	BPR/LA/125	02	18/01/2021	OK
122.		ATROMAP 1ML	FAMP-0158	MFR/LA/126	BPR/LA/126	01	04/02/2025	OK
123.		MYCOL INJ 1ML	FAMP-0163	MFR/LA/127	BPR/LA/127	00	10/07/2020	OK
124.		DROTAC INJ 2ML	FAMP-0162	MFR/LA/128	BPR/LA/128	00	08/07/2020	OK
125.		BIOSPAN INJ 1ML	FAMP-0083	MFR/LA/129	BPR/LA/129
	02	18/04/2024	OK
126.		SODIUM BICARBONATE 2ML	FAMP-0167	MFR/LA/130	BPR/LA/130
	01	08/03/2025	OK
127.		DITIM INJ	FAMP-0135	MFR/LA/131	BPR/LA/131
	00	08/07/2020	OK
128.		BIODEBOL25MG INJ	FAMP-0003	MFR/LA/132	BPR/LA/132
	03	26/12/2020	Discontinue 
129.		BIOCETAMOL 2ML	FAMP-0046	MFR/LA/133	BPR/LA/133
	00	22/07/2020	OK
130.		METHARMED INJ	FAMP-0176	MFR/LA/134	BPR/LA/134
	01	12/03/2021	OK
131.		SKYNORM 2ML	FAMP-0157	MFR/LA/135	BPR/LA/135
	01	13/05/2025	OK
132.		NAN- D INJ 1ML	FAMP-0175	MFR/LA/136	BPR/LA/136
	02	08/01/2021	Discontinue
133.		BETNI 1ML	FAMP-0182	MFR/LA/137	BPR/LA/137
	04	07/01/2025	OK
134.		JAGCIN INJ 2ML	FAMP-0180	MFR/LA/138	BPR/LA/138
	02	11/02/2025	OK
